GRBs ID,Redshift,μ,σ μ,"Ep,i (keV)","σ E p,i",Eiso (1052 erg),σ E iso
100 816A,0.80490,44.9536,0.940660,247.0,20.0,0.71171400,0.088964300
110 715A,0.82000,42.8160,0.942884,220.0,20.0,4.36118000,0.445018000
970 508,0.83500,44.1715,1.089630,145.0,43.0,0.63219900,0.133563000
990 705,0.84200,42.7009,1.091920,459.0,139.0,18.70260000,2.671800000
000 210,0.84600,43.8624,0.929560,753.0,26.0,15.40910000,1.692330000
040 924,0.85900,43.1051,1.132070,102.0,35.0,0.98013100,0.089102800
091 003,0.89690,44.5543,0.999868,810.0,157.0,10.70360000,1.783930000
080 319B,0.93700,42.9071,0.931116,1261.0,65.0,117.86600000,8.929210000
071 010B,0.94700,42.1526,1.034210,88.0,21.0,2.32220000,0.401920000
970 828,0.95800,42.9866,1.001570,586.0,117.0,30.37590000,3.573640000
980 703,0.96600,44.2503,0.957411,503.0,64.0,7.41683000,0.714875000
091 018,0.97100,42.7535,1.193740,55.0,20.0,0.62559600,0.348546000
980 326,1.00000,43.5588,1.338240,71.0,36.0,0.50084300,0.098379900
021 211,1.01000,43.7735,1.209120,127.0,52.0,1.16296000,0.134188000
991 216,1.02000,42.4440,1.006150,648.0,134.0,69.79480000,7.158440000
080 411,1.03000,43.6536,0.959590,524.0,70.0,16.19990000,0.984526000
000 911,1.06000,44.5421,1.005440,1856.0,371.0,69.86210000,14.330700000
091 208B,1.06300,44.5447,0.945957,246.0,25.0,2.06018000,0.179146000
110 213B,1.08300,43.1534,0.974899,256.0,40.0,8.33420000,1.344230000
091 024,1.09200,43.1454,0.934590,396.2,25.3,18.37650000,1.992580000
980 613,1.09600,45.4997,1.272390,194.0,89.0,0.60956500,0.098606200
080 413B,1.10000,44.1225,1.080840,163.0,47.5,1.61370000,0.268951000
981 226,1.11000,43.7092,1.276070,87.0,40.0,0.80703500,0.179341000
000 418,1.12000,43.2984,0.940538,284.0,21.0,9.50723000,1.793820000
061 126,1.15880,45.0298,1.094020,1337.0,410.0,31.41870000,3.590710000
090 926B,1.24000,43.9240,0.945337,212.0,21.0,4.13637000,0.449605000
020 813,1.25000,42.8407,1.051460,590.0,151.0,68.35380000,17.088500000
061 007,1.26200,43.3478,0.963166,890.0,124.0,89.96080000,8.996080000
130 420A,1.29700,42.4236,0.945544,129.0,13.0,7.74195000,0.720181000
990 506,1.30000,42.8153,1.024060,677.0,156.0,98.13040000,9.903060000
061 121,1.31400,45.6168,0.953501,1289.0,153.0,23.50360000,2.701560000
071 117,1.33100,42.5292,1.341740,112.0,56.0,5.85526000,2.702430000
070 521,1.35000,44.8194,0.949447,522.0,55.0,10.81350000,1.802260000
100 414A,1.36800,44.8120,0.942611,1295.0,120.0,54.98700000,5.408560000
120 711A,1.40500,44.7159,0.944660,2340.0,230.0,180.40500000,18.040500000
100 814A,1.44000,43.2858,0.959320,259.0,34.0,15.34380000,1.805150000
050 318,1.44360,43.8132,1.013130,115.0,25.0,2.30171000,0.162473000
110 213A,1.46000,44.1083,1.118780,224.0,74.0,5.77844000,0.812593000
120 724A,1.48000,43.9951,1.066200,69.0,19.0,0.84899200,0.180637000
10 222,1.48000,43.5582,0.929143,766.0,30.0,84.89920000,9.031830000
60 418,1.48900,45.0134,1.043000,572.0,143.0,13.54980000,2.709950000
30 328,1.52000,42.8710,0.978916,328.0,55.0,38.86220000,3.615090000
90 102,1.54700,45.9243,0.946461,1174.0,120.0,22.60400000,2.712480000
70 125,1.54700,44.0644,0.973486,934.0,148.0,84.08700000,8.408700000
40 912,1.56300,42.7810,1.699950,44.0,33.0,1.35658000,0.361755000
100 728A,1.56700,43.8473,0.927328,833.0,23.0,86.82650000,8.139980000
990 123,1.60000,44.1755,1.059600,1724.0,466.0,240.70300000,38.910600000
71 003,1.60400,46.5316,0.962389,2077.0,286.0,38.27950000,4.524760000
090 418A,1.60800,46.8731,1.037180,1567.0,384.0,17.19510000,2.715020000
110 503A,1.61300,44.6927,0.948442,551.0,60.0,20.81670000,1.810150000
990 510,1.61900,44.3532,0.946002,423.0,42.0,18.10310000,2.715460000
80 605,1.64000,45.0375,0.958753,766.0,55.0,28.06850000,14.486900000
80 928,1.69190,43.2837,1.036660,95.0,23.0,3.98686000,0.906105000
91 020,1.71000,45.6750,0.960875,507.2,68.2,8.42890000,1.087600000
10 0906A,1.72700,43.2599,0.973643,289.0,46.0,29.91600000,2.719630000
12 0119A,1.72800,44.3889,0.946023,496.0,50.0,27.19670000,3.626230000
110 422A,1.77000,42.9739,0.944986,421.0,42.0,79.82180000,8.163600000
12 0326A,1.79800,44.5549,0.941890,152.0,14.0,3.26663000,0.272219000
08 0514B,1.80000,45.3824,0.948821,627.0,65.0,18.14840000,3.629680000
09 0902B,1.82200,44.7661,0.925467,2187.0,31.0,292.27100000,9.076750000
110 801A,1.85800,45.1695,1.233450,400.0,171.0,10.89700000,2.724250000
60 908,1.88360,46.2739,1.288420,553.0,260.0,7.17610000,1.907570000
20 127,1.90000,45.7854,1.132720,290.0,100.0,3.72504000,0.109025000
60 814,1.92290,44.6651,1.114630,751.0,246.0,56.70860000,5.270990000
80 3190,1.95000,46.5089,1.088580,906.0,272.0,14.90890000,2.999960000
81 008,1.96850,44.6084,0.999689,261.0,52.0,10.00200000,0.909269000
30 226,1.98000,44.5553,1.022040,289.0,66.0,12.73140000,1.364080000
081203A,2.05000,46.8257,1.318340,1541.0,756.0,31.85300000,11.831100000
926.00,2.07000,43.9293,0.936188,310.0,20.0,28.58270000,6.189890000
80 207,2.08580,44.6893,1.566630,333.0,222.0,16.38770000,1.820860000
061 222A,2.08800,45.8633,0.983381,874.0,150.0,30.04490000,6.373150000
100 728B,2.10600,46.3176,0.965919,323.0,47.0,3.55142000,0.364248000
90 926,2.10620,43.7433,0.925125,900.8,7.0,228.01400000,2.273380000
11 211,2.14000,44.7932,0.957566,186.0,24.0,5.73888000,0.637653000
71 020,2.14500,47.4073,0.984835,1013.0,160.0,10.02080000,4.554900000
509 220,2.19900,46.4216,1.060710,415.0,111.0,5.55991000,1.822920000
121 128A,2.20000,44.9272,0.931098,243.0,13.0,8.65897000,0.820323000
"80,804.00",2.20450,46.8579,0.931104,810.0,45.0,12.03190000,0.546906000
110 205A,2.22000,45.2389,1.200410,757.0,305.0,48.31710000,6.381510000
81 221,2.26000,43.8782,0.929903,284.0,14.0,31.91950000,1.823970000
130 505A,2.27000,45.0290,0.935913,2030.0,150.0,346.58600000,27.362100000
60 124,2.29600,45.5020,1.154480,784.0,285.0,43.78960000,6.385990000
"21,004.00",2.30000,46.2112,1.246100,266.0,117.0,3.46681000,0.456159000
051 109A,2.34600,46.8641,1.162590,539.0,200.0,6.84516000,0.730151000
080 413A,2.43300,46.8670,1.096820,584.0,180.0,8.58559000,2.100730000
90 812,2.45200,47.3640,1.139650,2000.0,700.0,47.50210000,8.221520000
120 716A,2.48600,44.8287,0.944518,397.0,40.0,30.15380000,0.274125000
130 518A,2.48800,45.1810,0.942494,1382.0,130.0,192.80500000,18.275300000
81 121,2.51200,45.5879,0.934876,608.0,42.0,32.35340000,3.655760000
81 118,2.58000,44.4939,0.943808,203.3,20.0,13.97050000,0.888677000
80 721,2.59100,46.1254,0.958853,1741.0,227.0,133.51500000,22.862200000
50 820,2.61500,45.9102,1.006610,1325.0,277.0,103.35600000,8.231860000
30 429,2.65000,45.6525,1.002580,128.0,26.0,2.28721000,0.274465000
120 811C,2.67100,45.3823,0.943181,198.0,19.0,6.40514000,0.640514000
080 603B,2.69000,46.1013,1.160240,277.0,100.0,6.03994000,3.056580000
91 029,2.75200,45.5087,1.073520,230.0,66.0,7.96513000,0.823979000
81 222,2.77000,46.0964,0.930200,630.3,31.2,27.38220000,2.746930000
50 603,2.82100,46.6406,0.937652,1333.0,107.0,64.11640000,4.579750000
110 731A,2.83000,46.6737,0.930181,1164.0,58.0,49.46410000,4.580010000
111 107A,2.89300,47.5980,1.081910,420.0,124.0,3.75710000,0.549820000
50 401,2.89830,45.3038,1.028570,467.0,110.0,37.57230000,7.331180000
090 715B,3.00000,46.1498,1.107890,536.0,172.0,23.84090000,3.667830000
80 607,3.03600,46.0503,0.959184,1691.0,226.0,199.93800000,11.005800000
81 028,3.03800,44.8963,1.193310,234.0,93.0,18.34320000,1.834320000
060 607A,3.07500,46.7497,1.038460,478.0,118.0,11.92560000,2.752050000
20 124,3.20000,45.7872,1.117340,448.0,148.0,28.45710000,2.753910000
60 526,3.22000,45.5887,1.000270,105.0,21.0,2.75420000,0.367227000
80 810,3.35000,47.5973,0.954116,1470.0,180.0,47.77050000,5.511980000
110818A,3.36000,47.7168,1.011180,1116.0,240.0,26.64250000,2.756120000
30 323,3.37000,47.4274,1.221110,270.0,113.0,2.94001000,0.918752000
971 214,3.42000,47.0429,0.996013,685.0,133.0,22.05530000,2.756910000
60 707,3.42400,47.0792,1.052470,274.0,72.0,4.31924000,1.102780000
60 306,3.50000,46.7831,1.231550,315.0,135.0,7.63024000,1.011240000
980 329,3.50000,45.2884,0.974999,1096.0,176.0,266.59900000,53.319800000
60 115,3.53280,46.9780,1.141500,297.0,102.0,5.88442000,3.769700000
90 323,3.57000,45.8457,0.986639,1901.0,343.0,437.72500000,53.336200000
130 514A,3.60000,45.6286,1.092460,497.0,152.0,52.42340000,9.197080000
130 408A,3.75800,47.5053,0.963238,1000.0,140.0,34.97160000,6.442140000
120 802A,3.79600,46.1613,1.127820,274.0,93.0,12.88620000,2.761330000
60 210,3.91000,46.6447,1.112290,574.0,187.0,32.22940000,1.841680000
120 909A,3.93000,47.0881,1.170980,1276.0,483.0,87.48630000,10.130000000
60 206,4.05590,48.3284,1.270130,410.0,187.0,4.14595000,1.934780000
90 516,4.10900,46.8990,1.198760,971.0,390.0,71.87620000,13.822300000
120 712A,4.17450,47.4784,1.001880,641.0,130.0,21.19890000,1.843380000
080 916C,4.35000,47.1450,0.960048,2760.0,369.0,406.69200000,85.765000000
131.00,4.50000,46.1465,1.222790,987.0,416.0,183.60000000,32.291500000
90 205,4.64970,49.1939,1.125400,214.0,72.0,0.83070000,0.276900000
60 927,5.46000,47.1793,1.060390,275.0,75.0,12.02180000,2.774270000
50 904,6.29500,49.5673,1.132130,3178.0,1094.0,133.36400000,13.892100000
80 913,6.69500,49.7880,1.315530,710.0,350.0,9.17420000,2.687390000
90 423,8.10000,49.2684,1.034500,410.0,100.0,8.81815000,2.065300000
090 429B,9.30000,50.0158,0.959439,433.0,58.0,6.69027000,1.300890000
